Floor/Area,Bay Number,Bay Name,Occupied At,Occupancy Hours,Occupancy Percent,Occupancy Count,Ave Bays Occupied
Alexandra St,-,-,1/05/2020 0:00,10.4,17.3333,1,10.4
Alexandra St,-,-,1/05/2020 1:00,10,16.6667,4,10
Alexandra St,-,-,1/05/2020 2:00,10.1667,16.9444,1,10.1667
Alexandra St,-,-,1/05/2020 3:00,10.6,17.6667,2,10.6
Alexandra St,-,-,1/05/2020 4:00,11.0333,18.3889,2,11.0333
Alexandra St,-,-,1/05/2020 5:00,10.5833,17.6389,3,10.5833
Alexandra St,-,-,1/05/2020 6:00,14.1167,23.5278,7,14.1167
Alexandra St,-,-,1/05/2020 7:00,21.7667,36.2778,20,21.7667
Alexandra St,-,-,1/05/2020 8:00,41.4333,69.0556,14,41.4333
Alexandra St,-,-,1/05/2020 9:00,44.05,73.4167,3,44.05
Alexandra St,-,-,1/05/2020 10:00,46.3667,77.2778,9,46.3667
Alexandra St,-,-,1/05/2020 11:00,46.1333,76.8889,13,46.1333
Alexandra St,-,-,1/05/2020 12:00,46.1167,76.8611,28,46.1167
Alexandra St,-,-,1/05/2020 13:00,46.4,77.3333,17,46.4
Alexandra St,-,-,1/05/2020 14:00,41.2333,68.7222,26,41.2333
Alexandra St,-,-,1/05/2020 15:00,37.6833,62.8056,35,37.6833
Alexandra St,-,-,1/05/2020 16:00,32.3,53.8333,68,32.3
Alexandra St,-,-,1/05/2020 17:00,25.9333,43.2222,57,25.9333
Alexandra St,-,-,1/05/2020 18:00,26.7667,44.6111,62,26.7667
Alexandra St,-,-,1/05/2020 19:00,25.7333,42.8889,57,25.7333
Alexandra St,-,-,1/05/2020 20:00,21.5167,35.8611,28,21.5167
Alexandra St,-,-,1/05/2020 21:00,16.85,28.0833,8,16.85
Alexandra St,-,-,1/05/2020 22:00,14.45,24.0833,3,14.45
Alexandra St,-,-,1/05/2020 23:00,13.9333,23.2222,1,13.9333
Alexandra St,-,-,2/05/2020 0:00,13.9167,23.1944,1,13.9167
Alexandra St,-,-,2/05/2020 1:00,13.3667,22.2778,1,13.3667
Alexandra St,-,-,2/05/2020 2:00,13.0167,21.6944,1,13.0167
Alexandra St,-,-,2/05/2020 3:00,14.15,23.5833,3,14.15
Alexandra St,-,-,2/05/2020 4:00,13.4167,22.3611,1,13.4167
Alexandra St,-,-,2/05/2020 5:00,13.1167,21.8611,1,13.1167
Alexandra St,-,-,2/05/2020 6:00,12.9333,21.5556,4,12.9333
Alexandra St,-,-,2/05/2020 7:00,16.5333,27.5556,4,16.5333
Alexandra St,-,-,2/05/2020 8:00,24.2,40.3333,11,24.2
Alexandra St,-,-,2/05/2020 9:00,25.3333,42.2222,5,25.3333
Alexandra St,-,-,2/05/2020 10:00,26.2167,43.6944,15,26.2167
Alexandra St,-,-,2/05/2020 11:00,28.3833,47.3056,7,28.3833
Alexandra St,-,-,2/05/2020 12:00,29.8,49.6667,25,29.8
Alexandra St,-,-,2/05/2020 13:00,29.3333,48.8889,30,29.3333
Alexandra St,-,-,2/05/2020 14:00,27,45,26,27
Alexandra St,-,-,2/05/2020 15:00,26.6,44.3333,32,26.6
Alexandra St,-,-,2/05/2020 16:00,24.6,41,65,24.6
Alexandra St,-,-,2/05/2020 17:00,23.9667,39.9444,75,23.9667
Alexandra St,-,-,2/05/2020 18:00,27.2833,45.4722,59,27.2833
Alexandra St,-,-,2/05/2020 19:00,20.4167,34.0278,35,20.4167
Alexandra St,-,-,2/05/2020 20:00,19.4167,32.3611,19,19.4167
Alexandra St,-,-,2/05/2020 21:00,17.3,28.8333,8,17.3
Alexandra St,-,-,2/05/2020 22:00,15.15,25.25,1,15.15
Alexandra St,-,-,2/05/2020 23:00,15.2667,25.4444,4,15.2667
Alexandra St,-,-,3/05/2020 0:00,12.3,20.5,4,12.3
Alexandra St,-,-,3/05/2020 1:00,11.2833,18.8056,9,11.2833
Alexandra St,-,-,3/05/2020 2:00,10.9,18.1667,2,10.9
Alexandra St,-,-,3/05/2020 3:00,11.0333,18.3889,2,11.0333
Alexandra St,-,-,3/05/2020 4:00,11.0167,18.3611,1,11.0167
Alexandra St,-,-,3/05/2020 5:00,10.8,18,2,10.8
Alexandra St,-,-,3/05/2020 6:00,9.7833,16.3056,9,9.7833
Alexandra St,-,-,3/05/2020 7:00,12.4,20.6667,6,12.4
Alexandra St,-,-,3/05/2020 8:00,16.2167,27.0278,10,16.2167
Alexandra St,-,-,3/05/2020 9:00,20.9333,34.8889,1,20.9333
Alexandra St,-,-,3/05/2020 10:00,23.1833,38.6389,11,23.1833
Alexandra St,-,-,3/05/2020 11:00,23.7167,39.5278,14,23.7167
Alexandra St,-,-,3/05/2020 12:00,27.5667,45.9444,35,27.5667
Alexandra St,-,-,3/05/2020 13:00,25.5667,42.6111,48,25.5667
Alexandra St,-,-,3/05/2020 14:00,25.1,41.8333,24,25.1
Alexandra St,-,-,3/05/2020 15:00,19.2167,32.0278,52,19.2167
Alexandra St,-,-,3/05/2020 16:00,21.8667,36.4444,30,21.8667
Alexandra St,-,-,3/05/2020 17:00,20.1667,33.6111,51,20.1667
Alexandra St,-,-,3/05/2020 18:00,21.4333,35.7222,57,21.4333
