Floor/Area,Bay Number,Bay Name,Occupied At,Occupancy Hours,Occupancy Percent,Occupancy Count,Ave Bays Occupied
Precinct 1,All,-,2020/05/01 00:00:00,23.5,9.5918,6,23.5
Precinct 2,All,-,2020/05/01 00:00:00,17.55,10.5723,11,17.55
Precinct 3,All,-,2020/05/01 00:00:00,36.3833,13.5254,4,36.3833
Precinct 4,All,-,2020/05/01 00:00:00,6.7,8.7013,0,6.7
Precinct 1,All,-,2020/05/01 01:00:00,23.3667,9.5374,3,23.3667
Precinct 2,All,-,2020/05/01 01:00:00,16.8,10.1205,2,16.8
Precinct 3,All,-,2020/05/01 01:00:00,33.9167,12.6084,5,33.9167
Precinct 4,All,-,2020/05/01 01:00:00,7,9.0909,0,7
Precinct 1,All,-,2020/05/01 02:00:00,23.2167,9.4762,2,23.2167
Precinct 2,All,-,2020/05/01 02:00:00,17.0833,10.2912,1,17.0833
Precinct 3,All,-,2020/05/01 02:00:00,33.8667,12.5898,1,33.8667
Precinct 4,All,-,2020/05/01 02:00:00,7.05,9.1558,2,7.05
Precinct 1,All,-,2020/05/01 03:00:00,26.8667,10.966,7,26.8667
Precinct 2,All,-,2020/05/01 03:00:00,17.2833,10.4116,1,17.2833
Precinct 3,All,-,2020/05/01 03:00:00,34.6,12.8625,2,34.6
Precinct 4,All,-,2020/05/01 03:00:00,7,9.0909,1,7
Precinct 1,All,-,2020/05/01 04:00:00,27.85,11.3673,4,27.85
Precinct 2,All,-,2020/05/01 04:00:00,20.2833,12.2189,11,20.2833
Precinct 3,All,-,2020/05/01 04:00:00,35.9333,13.3581,3,35.9333
Precinct 4,All,-,2020/05/01 04:00:00,7.85,10.1948,3,7.85
Precinct 1,All,-,2020/05/01 05:00:00,27.2167,11.1088,43,27.2167
Precinct 2,All,-,2020/05/01 05:00:00,18.15,10.9337,18,18.15
Precinct 3,All,-,2020/05/01 05:00:00,39.9333,14.8451,55,39.9333
