Floor/Area,Bay Number,Bay Name,Occupied At,Occupancy Hours,Occupancy Percent,Occupancy Count,Ave Bays Occupied
Barton St,-,-,1/05/2020 0:00,1.6333,3.2026,1,1.6333
Barton St,-,-,1/05/2020 1:00,1.3333,2.6144,1,1.3333
Barton St,-,-,1/05/2020 2:00,1.0833,2.1242,1,1.0833
Barton St,-,-,1/05/2020 3:00,1,1.9608,0,1
Barton St,-,-,1/05/2020 4:00,2.5667,5.0327,6,2.5667
Barton St,-,-,1/05/2020 5:00,1,1.9608,0,1
Barton St,-,-,1/05/2020 6:00,1.0667,2.0915,3,1.0667
Barton St,-,-,1/05/2020 7:00,4.4,8.6275,26,4.4
Barton St,-,-,1/05/2020 8:00,12.3667,24.2484,36,12.3667
Barton St,-,-,1/05/2020 9:00,20,39.2157,44,20
Barton St,-,-,1/05/2020 10:00,25.6667,50.3268,65,25.6667
Barton St,-,-,1/05/2020 11:00,30.2667,59.3464,73,30.2667
Barton St,-,-,1/05/2020 12:00,30.35,59.5098,86,30.35
Barton St,-,-,1/05/2020 13:00,26.4667,51.8954,63,26.4667
Barton St,-,-,1/05/2020 14:00,23.2,45.4902,70,23.2
Barton St,-,-,1/05/2020 15:00,18.8833,37.0261,61,18.8833
Barton St,-,-,1/05/2020 16:00,17.4833,34.281,60,17.4833
Barton St,-,-,1/05/2020 17:00,10.05,19.7059,55,10.05
Barton St,-,-,1/05/2020 18:00,6.7667,13.268,52,6.7667
Barton St,-,-,1/05/2020 19:00,5.3167,10.4248,20,5.3167
Barton St,-,-,1/05/2020 20:00,4.65,9.1176,17,4.65
Barton St,-,-,1/05/2020 21:00,4.0833,8.0065,3,4.0833
Barton St,-,-,1/05/2020 22:00,2.9833,5.8497,2,2.9833
Barton St,-,-,1/05/2020 23:00,2,3.9216,0,2
Barton St,-,-,2/05/2020 0:00,2,3.9216,0,2
Barton St,-,-,2/05/2020 1:00,2,3.9216,0,2
Barton St,-,-,2/05/2020 2:00,3.5833,7.0261,2,3.5833
Barton St,-,-,2/05/2020 3:00,2,3.9216,0,2
Barton St,-,-,2/05/2020 4:00,2.0833,4.085,2,2.0833
Barton St,-,-,2/05/2020 5:00,2.1,4.1176,2,2.1
Barton St,-,-,2/05/2020 6:00,2.1167,4.1503,12,2.1167
