Floor/Area,Bay Number,Bay Name,Occupied At,Occupancy Hours,Occupancy Percent,Occupancy Count,Ave Bays Occupied
Hood St,-,-,1/05/2020 0:00,3,10,0,3
Hood St,-,-,1/05/2020 1:00,3,10,0,3
Hood St,-,-,1/05/2020 2:00,3,10,0,3
Hood St,-,-,1/05/2020 3:00,3,10,0,3
Hood St,-,-,1/05/2020 4:00,3,10,0,3
Hood St,-,-,1/05/2020 5:00,3,10,0,3
Hood St,-,-,1/05/2020 6:00,3,10,0,3
Hood St,-,-,1/05/2020 7:00,5.0333,16.7778,3,5.0333
Hood St,-,-,1/05/2020 8:00,10.8667,36.2222,9,10.8667
Hood St,-,-,1/05/2020 9:00,12.8,42.6667,12,12.8
Hood St,-,-,1/05/2020 10:00,11.1833,37.2778,16,11.1833
Hood St,-,-,1/05/2020 11:00,12.6,42,19,12.6
Hood St,-,-,1/05/2020 12:00,14.3667,47.8889,31,14.3667
Hood St,-,-,1/05/2020 13:00,17.15,57.1667,16,17.15
Hood St,-,-,1/05/2020 14:00,15.1333,50.4444,12,15.1333
Hood St,-,-,1/05/2020 15:00,12.9833,43.2778,9,12.9833
Hood St,-,-,1/05/2020 16:00,10.5833,35.2778,27,10.5833
Hood St,-,-,1/05/2020 17:00,9.8,32.6667,36,9.8
Hood St,-,-,1/05/2020 18:00,8.4333,28.1111,33,8.4333
Hood St,-,-,1/05/2020 19:00,8.1667,27.2222,31,8.1667
Hood St,-,-,1/05/2020 20:00,3.1333,10.4444,11,3.1333
Hood St,-,-,1/05/2020 21:00,2.8667,9.5556,3,2.8667
Hood St,-,-,1/05/2020 22:00,2,6.6667,1,2
Hood St,-,-,1/05/2020 23:00,2,6.6667,0,2
Hood St,-,-,2/05/2020 0:00,2.05,6.8333,1,2.05
Hood St,-,-,2/05/2020 1:00,2,6.6667,0,2
Hood St,-,-,2/05/2020 2:00,2,6.6667,0,2
Hood St,-,-,2/05/2020 3:00,2.4833,8.2778,1,2.4833
Hood St,-,-,2/05/2020 4:00,3,10,0,3
Hood St,-,-,2/05/2020 5:00,2.0167,6.7222,1,2.0167
Hood St,-,-,2/05/2020 6:00,2,6.6667,0,2
Hood St,-,-,2/05/2020 7:00,2,6.6667,0,2
Hood St,-,-,2/05/2020 8:00,2.9,9.6667,16,2.9
Hood St,-,-,2/05/2020 9:00,3.45,11.5,10,3.45
Hood St,-,-,2/05/2020 10:00,3.2833,10.9444,20,3.2833
Hood St,-,-,2/05/2020 11:00,4.55,15.1667,19,4.55
Hood St,-,-,2/05/2020 12:00,5.2,17.3333,15,5.2
Hood St,-,-,2/05/2020 13:00,8.2167,27.3889,16,8.2167
Hood St,-,-,2/05/2020 14:00,10.0667,33.5556,16,10.0667
Hood St,-,-,2/05/2020 15:00,5.9333,19.7778,16,5.9333
Hood St,-,-,2/05/2020 16:00,5.5333,18.4444,23,5.5333
Hood St,-,-,2/05/2020 17:00,6,20,27,6
Hood St,-,-,2/05/2020 18:00,7.1167,23.7222,38,7.1167
Hood St,-,-,2/05/2020 19:00,6.8833,22.9444,23,6.8833
Hood St,-,-,2/05/2020 20:00,4.8667,16.2222,11,4.8667
Hood St,-,-,2/05/2020 21:00,3.1333,10.4444,4,3.1333
Hood St,-,-,2/05/2020 22:00,3,10,1,3
Hood St,-,-,2/05/2020 23:00,3,10,0,3
Hood St,-,-,3/05/2020 0:00,3,10,0,3
Hood St,-,-,3/05/2020 1:00,3.1333,10.4444,2,3.1333
Hood St,-,-,3/05/2020 2:00,3,10,1,3
Hood St,-,-,3/05/2020 3:00,3,10,2,3
Hood St,-,-,3/05/2020 4:00,3,10,0,3
Hood St,-,-,3/05/2020 5:00,3,10,0,3
Hood St,-,-,3/05/2020 6:00,3.1333,10.4444,2,3.1333
Hood St,-,-,3/05/2020 7:00,4,13.3333,0,4
Hood St,-,-,3/05/2020 8:00,4.25,14.1667,3,4.25
Hood St,-,-,3/05/2020 9:00,4.1333,13.7778,4,4.1333
Hood St,-,-,3/05/2020 10:00,5.3333,17.7778,6,5.3333
Hood St,-,-,3/05/2020 11:00,5.6333,18.7778,23,5.6333
Hood St,-,-,3/05/2020 12:00,7.9667,26.5556,25,7.9667
Hood St,-,-,3/05/2020 13:00,7.5667,25.2222,11,7.5667
Hood St,-,-,3/05/2020 14:00,7.85,26.1667,19,7.85
Hood St,-,-,3/05/2020 15:00,3.9333,13.1111,19,3.9333
Hood St,-,-,3/05/2020 16:00,5.2333,17.4444,17,5.2333
Hood St,-,-,3/05/2020 17:00,5.1833,17.2778,33,5.1833
Hood St,-,-,3/05/2020 18:00,3.2833,10.9444,15,3.2833
Hood St,-,-,3/05/2020 19:00,2.5,8.3333,9,2.5
Hood St,-,-,3/05/2020 20:00,3.05,10.1667,1,3.05
Hood St,-,-,3/05/2020 21:00,2.0833,6.9444,5,2.0833
Hood St,-,-,3/05/2020 22:00,2.4333,8.1111,3,2.4333
Hood St,-,-,3/05/2020 23:00,2.0333,6.7778,47,2.0333
Hood St,-,-,4/05/2020 0:00,2,6.6667,0,2
Hood St,-,-,4/05/2020 1:00,2,6.6667,0,2
Hood St,-,-,4/05/2020 2:00,2,6.6667,0,2
Hood St,-,-,4/05/2020 3:00,2,6.6667,0,2
Hood St,-,-,4/05/2020 4:00,2,6.6667,0,2
Hood St,-,-,4/05/2020 5:00,2,6.6667,0,2
Hood St,-,-,4/05/2020 6:00,2.3833,7.9444,7,2.3833
Hood St,-,-,4/05/2020 7:00,3.6833,12.2778,3,3.6833
Hood St,-,-,4/05/2020 8:00,10.25,34.1667,17,10.25
Hood St,-,-,4/05/2020 9:00,16.0167,53.3889,17,16.0167
Hood St,-,-,4/05/2020 10:00,14.85,49.5,12,14.85
Hood St,-,-,4/05/2020 11:00,15.85,52.8333,13,15.85
Hood St,-,-,4/05/2020 12:00,16.7167,55.7222,16,16.7167
Hood St,-,-,4/05/2020 13:00,16.2,54,26,16.2
Hood St,-,-,4/05/2020 14:00,17.1167,57.0556,12,17.1167
Hood St,-,-,4/05/2020 15:00,14.1,47,11,14.1
Hood St,-,-,4/05/2020 16:00,11.8667,39.5556,11,11.8667
Hood St,-,-,4/05/2020 17:00,7.0667,23.5556,11,7.0667
Hood St,-,-,4/05/2020 18:00,5.75,19.1667,11,5.75
Hood St,-,-,4/05/2020 19:00,4.6167,15.3889,10,4.6167
Hood St,-,-,4/05/2020 20:00,3.0833,10.2778,10,3.0833
Hood St,-,-,4/05/2020 21:00,3.0167,10.0556,5,3.0167
Hood St,-,-,4/05/2020 22:00,3,10,1,3
Hood St,-,-,4/05/2020 23:00,3,10,0,3
Hood St,-,-,5/05/2020 0:00,3,10,0,3
Hood St,-,-,5/05/2020 1:00,3,10,0,3
Hood St,-,-,5/05/2020 2:00,3,10,0,3
Hood St,-,-,5/05/2020 3:00,3,10,0,3
Hood St,-,-,5/05/2020 4:00,3.15,10.5,2,3.15
Hood St,-,-,5/05/2020 5:00,4,13.3333,0,4
Hood St,-,-,5/05/2020 6:00,3.9833,13.2778,7,3.9833
Hood St,-,-,5/05/2020 7:00,4.5833,15.2778,4,4.5833
Hood St,-,-,5/05/2020 8:00,10.0333,33.4444,10,10.0333
Hood St,-,-,5/05/2020 9:00,15.0667,50.2222,8,15.0667
Hood St,-,-,5/05/2020 10:00,15.8667,52.8889,13,15.8667
Hood St,-,-,5/05/2020 11:00,16.75,55.8333,10,16.75
Hood St,-,-,5/05/2020 12:00,17.3167,57.7222,8,17.3167
Hood St,-,-,5/05/2020 13:00,17.25,57.5,15,17.25
Hood St,-,-,5/05/2020 14:00,17.8667,59.5556,9,17.8667
Hood St,-,-,5/05/2020 15:00,14.45,48.1667,38,14.45
Hood St,-,-,5/05/2020 16:00,10.4667,34.8889,25,10.4667
Hood St,-,-,5/05/2020 17:00,4.9333,16.4444,13,4.9333
Hood St,-,-,5/05/2020 18:00,5.1,17,23,5.1
Hood St,-,-,5/05/2020 19:00,3.65,12.1667,22,3.65
Hood St,-,-,5/05/2020 20:00,3.2,10.6667,7,3.2
Hood St,-,-,5/05/2020 21:00,3.1333,10.4444,6,3.1333
Hood St,-,-,5/05/2020 22:00,3,10,1,3
Hood St,-,-,5/05/2020 23:00,3,10,0,3
Hood St,-,-,6/05/2020 0:00,3,10,0,3
Hood St,-,-,6/05/2020 1:00,3,10,2,3
Hood St,-,-,6/05/2020 2:00,3,10,0,3
Hood St,-,-,6/05/2020 3:00,3,10,0,3
Hood St,-,-,6/05/2020 4:00,2.6,8.6667,1,2.6
Hood St,-,-,6/05/2020 5:00,2,6.6667,0,2
Hood St,-,-,6/05/2020 6:00,2,6.6667,1,2
Hood St,-,-,6/05/2020 7:00,3.7833,12.6111,9,3.7833
Hood St,-,-,6/05/2020 8:00,11.2667,37.5556,12,11.2667
Hood St,-,-,6/05/2020 9:00,14.85,49.5,14,14.85
Hood St,-,-,6/05/2020 10:00,15.5,51.6667,23,15.5
Hood St,-,-,6/05/2020 11:00,17.75,59.1667,23,17.75
Hood St,-,-,6/05/2020 12:00,19.9333,66.4444,15,19.9333
Hood St,-,-,6/05/2020 13:00,20.7333,69.1111,11,20.7333
Hood St,-,-,6/05/2020 14:00,20.0667,66.8889,6,20.0667
Hood St,-,-,6/05/2020 15:00,16.3,54.3333,13,16.3
Hood St,-,-,6/05/2020 16:00,13.7667,45.8889,24,13.7667
Hood St,-,-,6/05/2020 17:00,9.15,30.5,25,9.15
Hood St,-,-,6/05/2020 18:00,9.1,30.3333,15,9.1
Hood St,-,-,6/05/2020 19:00,5.4667,18.2222,30,5.4667
Hood St,-,-,6/05/2020 20:00,4.6,15.3333,8,4.6
