Floor/Area,Bay Number,Bay Name,Occupied At,Occupancy Hours,Occupancy Percent,Occupancy Count,Ave Bays Occupied
Victoria St,-,-,1/05/2020 0:00,13,26.5306,0,13
Victoria St,-,-,1/05/2020 1:00,11.9167,24.3197,1,11.9167
Victoria St,-,-,1/05/2020 2:00,11.7,23.8776,0,11.7
Victoria St,-,-,1/05/2020 3:00,12,24.4898,0,12
Victoria St,-,-,1/05/2020 4:00,12,24.4898,0,12
Victoria St,-,-,1/05/2020 5:00,13.6333,27.8231,8,13.6333
Victoria St,-,-,1/05/2020 6:00,11.35,23.1633,7,11.35
Victoria St,-,-,1/05/2020 7:00,11.8,24.0816,11,11.8
Victoria St,-,-,1/05/2020 8:00,20.1167,41.0544,11,20.1167
Victoria St,-,-,1/05/2020 9:00,22.9833,46.9048,20,22.9833
Victoria St,-,-,1/05/2020 10:00,20.1333,41.0884,26,20.1333
Victoria St,-,-,1/05/2020 11:00,24.0667,49.1156,30,24.0667
Victoria St,-,-,1/05/2020 12:00,26.5333,54.1497,55,26.5333
Victoria St,-,-,1/05/2020 13:00,25.5,52.0408,33,25.5
Victoria St,-,-,1/05/2020 14:00,24.2333,49.4558,35,24.2333
Victoria St,-,-,1/05/2020 15:00,21.9,44.6939,35,21.9
Victoria St,-,-,1/05/2020 16:00,25.2167,51.4626,46,25.2167
Victoria St,-,-,1/05/2020 17:00,26.4833,54.0476,58,26.4833
Victoria St,-,-,1/05/2020 18:00,27.3667,55.8503,63,27.3667
Victoria St,-,-,1/05/2020 19:00,28.7167,58.6054,49,28.7167
Victoria St,-,-,1/05/2020 20:00,24.0167,49.0136,39,24.0167
Victoria St,-,-,1/05/2020 21:00,16.15,32.9592,9,16.15
Victoria St,-,-,1/05/2020 22:00,14.2333,29.0476,1,14.2333
Victoria St,-,-,1/05/2020 23:00,14.2167,29.0136,4,14.2167
Victoria St,-,-,2/05/2020 0:00,14.7833,30.1701,1,14.7833
Victoria St,-,-,2/05/2020 1:00,14,28.5714,0,14
Victoria St,-,-,2/05/2020 2:00,12.1333,24.7619,2,12.1333
Victoria St,-,-,2/05/2020 3:00,12,24.4898,0,12
Victoria St,-,-,2/05/2020 4:00,12,24.4898,0,12
Victoria St,-,-,2/05/2020 5:00,12.0167,24.5238,1,12.0167
Victoria St,-,-,2/05/2020 6:00,11.85,24.1837,2,11.85
Victoria St,-,-,2/05/2020 7:00,12,24.4898,1,12
Victoria St,-,-,2/05/2020 8:00,13.6333,27.8231,4,13.6333
Victoria St,-,-,2/05/2020 9:00,16.9167,34.5238,18,16.9167
Victoria St,-,-,2/05/2020 10:00,20.35,41.5306,28,20.35
Victoria St,-,-,2/05/2020 11:00,28.3667,57.8912,45,28.3667
Victoria St,-,-,2/05/2020 12:00,26.45,53.9796,50,26.45
Victoria St,-,-,2/05/2020 13:00,23.9667,48.9116,50,23.9667
Victoria St,-,-,2/05/2020 14:00,20.4667,41.7687,41,20.4667
Victoria St,-,-,2/05/2020 15:00,24.3667,49.7279,56,24.3667
Victoria St,-,-,2/05/2020 16:00,21.5833,44.0476,80,21.5833
Victoria St,-,-,2/05/2020 17:00,24.3667,49.7279,61,24.3667
Victoria St,-,-,2/05/2020 18:00,22.3,45.5102,79,22.3
Victoria St,-,-,2/05/2020 19:00,22.1,45.102,64,22.1
Victoria St,-,-,2/05/2020 20:00,17.0167,34.7279,30,17.0167
Victoria St,-,-,2/05/2020 21:00,13.05,26.6327,13,13.05
Victoria St,-,-,2/05/2020 22:00,11.6,23.6735,2,11.6
Victoria St,-,-,2/05/2020 23:00,12.1333,24.7619,3,12.1333
Victoria St,-,-,3/05/2020 0:00,14.8667,30.3401,0,14.8667
