Floor/Area,Bay Number,Bay Name,Occupied At,Occupancy Hours,Occupancy Percent,Occupancy Count,Ave Bays Occupied
Ward St East,-,-,1/05/2020 0:00,5,9.6154,0,5
Ward St East,-,-,1/05/2020 1:00,5,9.6154,0,5
Ward St East,-,-,1/05/2020 2:00,5,9.6154,0,5
Ward St East,-,-,1/05/2020 3:00,5,9.6154,0,5
Ward St East,-,-,1/05/2020 4:00,5,9.6154,0,5
Ward St East,-,-,1/05/2020 5:00,8.5,16.3462,42,8.5
Ward St East,-,-,1/05/2020 6:00,5.1833,9.9679,4,5.1833
Ward St East,-,-,1/05/2020 7:00,6.8,13.0769,17,6.8
Ward St East,-,-,1/05/2020 8:00,6.4,12.3077,19,6.4
Ward St East,-,-,1/05/2020 9:00,11.7333,22.5641,27,11.7333
Ward St East,-,-,1/05/2020 10:00,22.0833,42.4679,34,22.0833
Ward St East,-,-,1/05/2020 11:00,26.55,51.0577,38,26.55
Ward St East,-,-,1/05/2020 12:00,25.9833,49.9679,49,25.9833
Ward St East,-,-,1/05/2020 13:00,21.95,42.2115,32,21.95
Ward St East,-,-,1/05/2020 14:00,23.6833,45.5449,54,23.6833
Ward St East,-,-,1/05/2020 15:00,23.8167,45.8013,37,23.8167
Ward St East,-,-,1/05/2020 16:00,22.3833,43.0449,37,22.3833
Ward St East,-,-,1/05/2020 17:00,20.0167,38.4936,43,20.0167
Ward St East,-,-,1/05/2020 18:00,15.2167,29.2628,21,15.2167
Ward St East,-,-,1/05/2020 19:00,15.1833,29.1987,25,15.1833
Ward St East,-,-,1/05/2020 20:00,11.6333,22.3718,27,11.6333
Ward St East,-,-,1/05/2020 21:00,9.6167,18.4936,14,9.6167
Ward St East,-,-,1/05/2020 22:00,6.1,11.7308,12,6.1
Ward St East,-,-,1/05/2020 23:00,5.0333,9.6795,1,5.0333
Ward St East,-,-,2/05/2020 0:00,5.0167,9.6474,1,5.0167
Ward St East,-,-,2/05/2020 1:00,5,9.6154,0,5
Ward St East,-,-,2/05/2020 2:00,5,9.6154,0,5
Ward St East,-,-,2/05/2020 3:00,5,9.6154,0,5
Ward St East,-,-,2/05/2020 4:00,6.2333,11.9872,3,6.2333
Ward St East,-,-,2/05/2020 5:00,5,9.6154,1,5
Ward St East,-,-,2/05/2020 6:00,5,9.6154,0,5
Ward St East,-,-,2/05/2020 7:00,5.8167,11.1859,5,5.8167
Ward St East,-,-,2/05/2020 8:00,7.7833,14.9679,7,7.7833
Ward St East,-,-,2/05/2020 9:00,11.6333,22.3718,17,11.6333
Ward St East,-,-,2/05/2020 10:00,12.6833,24.391,22,12.6833
Ward St East,-,-,2/05/2020 11:00,18.2167,35.0321,43,18.2167
Ward St East,-,-,2/05/2020 12:00,17.8667,34.359,35,17.8667
Ward St East,-,-,2/05/2020 13:00,17.95,34.5192,26,17.95
