Floor/Area,Bay Number,Bay Name,Occupied At,Occupancy Hours,Occupancy Percent,Occupancy Count,Ave Bays Occupied
Worley Place,-,-,1/05/2020 0:00,2,9.0909,1,2
Worley Place,-,-,1/05/2020 1:00,2,9.0909,0,2
Worley Place,-,-,1/05/2020 2:00,2,9.0909,0,2
Worley Place,-,-,1/05/2020 3:00,2,9.0909,0,2
Worley Place,-,-,1/05/2020 4:00,2.9,13.1818,1,2.9
Worley Place,-,-,1/05/2020 5:00,2,9.0909,0,2
Worley Place,-,-,1/05/2020 6:00,2,9.0909,3,2
Worley Place,-,-,1/05/2020 7:00,3.4333,15.6061,4,3.4333
Worley Place,-,-,1/05/2020 8:00,4.0167,18.2576,5,4.0167
Worley Place,-,-,1/05/2020 9:00,4.7833,21.7424,7,4.7833
Worley Place,-,-,1/05/2020 10:00,5.4333,24.697,6,5.4333
Worley Place,-,-,1/05/2020 11:00,5.9167,26.8939,2,5.9167
Worley Place,-,-,1/05/2020 12:00,5.9333,26.9697,2,5.9333
Worley Place,-,-,1/05/2020 13:00,6,27.2727,0,6
Worley Place,-,-,1/05/2020 14:00,6,27.2727,0,6
Worley Place,-,-,1/05/2020 15:00,7.2833,33.1061,4,7.2833
Worley Place,-,-,1/05/2020 16:00,3.6333,16.5152,10,3.6333
Worley Place,-,-,1/05/2020 17:00,4.1833,19.0152,9,4.1833
Worley Place,-,-,1/05/2020 18:00,2.6833,12.197,6,2.6833
Worley Place,-,-,1/05/2020 19:00,3.3333,15.1515,2,3.3333
Worley Place,-,-,1/05/2020 20:00,4.2167,19.1667,2,4.2167
Worley Place,-,-,1/05/2020 21:00,2.2167,10.0758,2,2.2167
Worley Place,-,-,1/05/2020 22:00,2,9.0909,0,2
Worley Place,-,-,1/05/2020 23:00,2.3167,10.5303,1,2.3167
Worley Place,-,-,2/05/2020 0:00,2,9.0909,3,2
Worley Place,-,-,2/05/2020 1:00,2,9.0909,0,2
Worley Place,-,-,2/05/2020 2:00,2,9.0909,1,2
Worley Place,-,-,2/05/2020 3:00,2.4833,11.2879,1,2.4833
Worley Place,-,-,2/05/2020 4:00,2,9.0909,0,2
Worley Place,-,-,2/05/2020 5:00,2,9.0909,0,2
Worley Place,-,-,2/05/2020 6:00,2,9.0909,0,2
Worley Place,-,-,2/05/2020 7:00,2.85,12.9545,1,2.85
